"","Year","Sex","Age","Cause","Value"
"1",2017,"Male","Total","Certain infectious and parasitic diseases, ICD10",1329
"2",2017,"Male","Total","Septicaemia, ICD10",702
"3",2017,"Male","Total","Neoplasms, ICD10",26162
"4",2017,"Male","Total","Malignant neoplasms, ICD10",25524
"5",2017,"Male","Total","Malignant neoplasm of lip, oral cavity and pharynx, ICD10",601
"6",2017,"Male","Total","Malignant neoplasm of oesophagus, ICD10",925
"7",2017,"Male","Total","Malignant neoplasm of stomach, ICD10",719
"8",2017,"Male","Total","Malignant neoplasm of colon, rectosigmoid junction, rectum, anus and anal canal, ICD10",2371
"9",2017,"Male","Total","Malignant neoplasm of liver and intrahepatic bile ducts, ICD10",1241
"10",2017,"Male","Total","Malignant neoplasm of pancreas, ICD10",1566
"11",2017,"Male","Total","Malignant neoplasm of trachea, bronchus and lung, ICD10",4911
"12",2017,"Male","Total","Malignant neoplasm of prostate, ICD10",3275
"13",2017,"Male","Total","Malignant neoplasm of lymphoid, haematopoietic and related tissue, ICD10",2660
"14",2017,"Male","Total","Endocrine, nutritional and metabolic diseases, ICD10",3493
"15",2017,"Male","Total","Diabetes mellitus, ICD10",2583
"16",2017,"Male","Total","Mental and behavioural disorders, ICD10",3807
"17",2017,"Male","Total","Diseases of the nervous system, ICD10",4269
"18",2017,"Male","Total","Diseases of the circulatory system, ICD10",21391
"19",2017,"Male","Total","Hypertensive diseases, ICD10",850
"20",2017,"Male","Total","Ischaemic heart diseases, ICD10",10514
"21",2017,"Male","Total","Cerebrovascular diseases, ICD10",4302
"22",2017,"Male","Total","Diseases of arteries, arterioles and capillaries, ICD10",973
"23",2017,"Male","Total","Diseases of the respiratory  system, ICD10",8190
"24",2017,"Male","Total","Influenza, ICD10",508
"25",2017,"Male","Total","Pneumonia, ICD10",1432
"26",2017,"Male","Total","Chronic lower respiratory diseases, ICD10",4268
"27",2017,"Male","Total","Diseases of the digestive system, ICD10",3021
"28",2017,"Male","Total","Diseases of the liver, ICD10",1295
"29",2017,"Male","Total","Diseases of the musculoskeletal system and connective tissue, ICD10",490
"30",2017,"Male","Total","Diseases of the genitourinary system, ICD10",1702
"31",2017,"Male","Total","Disorders of kidney and ureter, ICD10",1276
"32",2017,"Male","Total","Certain conditions originating in the perinatal period, ICD10",339
"33",2017,"Male","Total","Congenital malformations, deformations and chromosomal abnormalities , ICD10",331
"34",2017,"Male","Total","Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified, ICD10",1012
"35",2017,"Male","Total","External causes, ICD10",6799
"36",2017,"Male","Total","Accidents, ICD10",4041
"37",2017,"Male","Total","Transport accidents, ICD10",1019
"38",2017,"Male","Total","Falls, ICD10",1313
"39",2017,"Male","Total","Accidental poisoning by and exposure to noxious substances, ICD10",920
"40",2017,"Male","Total","Intentional self-harm, ICD10",2346
"41",2017,"Male","Total","All causes, ICD10",82858
"42",2017,"Male","0","Certain conditions originating in the perinatal period, ICD10",335
"43",2017,"Male","0","All causes, ICD10",562
"44",2017,"Male","20 - 24","External causes, ICD10",398
"45",2017,"Male","20 - 24","All causes, ICD10",506
"46",2017,"Male","25 - 29","External causes, ICD10",444
"47",2017,"Male","25 - 29","All causes, ICD10",601
"48",2017,"Male","30 - 34","External causes, ICD10",490
"49",2017,"Male","30 - 34","All causes, ICD10",748
"50",2017,"Male","35 - 39","External causes, ICD10",500
"51",2017,"Male","35 - 39","All causes, ICD10",919
"52",2017,"Male","40 - 44","External causes, ICD10",548
"53",2017,"Male","40 - 44","All causes, ICD10",1246
"54",2017,"Male","45 - 49","Neoplasms, ICD10",439
"55",2017,"Male","45 - 49","Malignant neoplasms, ICD10",425
"56",2017,"Male","45 - 49","Diseases of the circulatory system, ICD10",406
"57",2017,"Male","45 - 49","External causes, ICD10",542
"58",2017,"Male","45 - 49","All causes, ICD10",1856
"59",2017,"Male","50 - 54","Neoplasms, ICD10",832
"60",2017,"Male","50 - 54","Malignant neoplasms, ICD10",822
"61",2017,"Male","50 - 54","Diseases of the circulatory system, ICD10",522
"62",2017,"Male","50 - 54","Ischaemic heart diseases, ICD10",325
"63",2017,"Male","50 - 54","External causes, ICD10",401
"64",2017,"Male","50 - 54","All causes, ICD10",2398
"65",2017,"Male","55 - 59","Neoplasms, ICD10",1438
"66",2017,"Male","55 - 59","Malignant neoplasms, ICD10",1420
"67",2017,"Male","55 - 59","Diseases of the circulatory system, ICD10",798
"68",2017,"Male","55 - 59","Ischaemic heart diseases, ICD10",507
"69",2017,"Male","55 - 59","External causes, ICD10",408
"70",2017,"Male","55 - 59","All causes, ICD10",3603
"71",2017,"Male","60 - 64","Neoplasms, ICD10",2236
"72",2017,"Male","60 - 64","Malignant neoplasms, ICD10",2209
"73",2017,"Male","60 - 64","Malignant neoplasm of trachea, bronchus and lung, ICD10",521
"74",2017,"Male","60 - 64","Diseases of the circulatory system, ICD10",992
"75",2017,"Male","60 - 64","Ischaemic heart diseases, ICD10",592
"76",2017,"Male","60 - 64","Diseases of the respiratory  system, ICD10",341
"77",2017,"Male","60 - 64","All causes, ICD10",4834
"78",2017,"Male","65 - 69","Neoplasms, ICD10",3148
"79",2017,"Male","65 - 69","Malignant neoplasms, ICD10",3106
"80",2017,"Male","65 - 69","Malignant neoplasm of trachea, bronchus and lung, ICD10",726
"81",2017,"Male","65 - 69","Endocrine, nutritional and metabolic diseases, ICD10",327
"82",2017,"Male","65 - 69","Diseases of the circulatory system, ICD10",1431
"83",2017,"Male","65 - 69","Ischaemic heart diseases, ICD10",808
"84",2017,"Male","65 - 69","Diseases of the respiratory  system, ICD10",520
"85",2017,"Male","65 - 69","Chronic lower respiratory diseases, ICD10",322
"86",2017,"Male","65 - 69","External causes, ICD10",326
"87",2017,"Male","65 - 69","All causes, ICD10",6768
"88",2017,"Male","70 - 74","Neoplasms, ICD10",3848
"89",2017,"Male","70 - 74","Malignant neoplasms, ICD10",3773
"90",2017,"Male","70 - 74","Malignant neoplasm of colon, rectosigmoid junction, rectum, anus and anal canal, ICD10",324
"91",2017,"Male","70 - 74","Malignant neoplasm of trachea, bronchus and lung, ICD10",865
"92",2017,"Male","70 - 74","Malignant neoplasm of prostate, ICD10",396
"93",2017,"Male","70 - 74","Malignant neoplasm of lymphoid, haematopoietic and related tissue, ICD10",401
"94",2017,"Male","70 - 74","Endocrine, nutritional and metabolic diseases, ICD10",405
"95",2017,"Male","70 - 74","Diabetes mellitus, ICD10",317
"96",2017,"Male","70 - 74","Diseases of the nervous system, ICD10",438
"97",2017,"Male","70 - 74","Diseases of the circulatory system, ICD10",1988
"98",2017,"Male","70 - 74","Ischaemic heart diseases, ICD10",1070
"99",2017,"Male","70 - 74","Cerebrovascular diseases, ICD10",372
"100",2017,"Male","70 - 74","Diseases of the respiratory  system, ICD10",915
"101",2017,"Male","70 - 74","Chronic lower respiratory diseases, ICD10",584
"102",2017,"Male","70 - 74","All causes, ICD10",8793
"103",2017,"Male","75 - 79","Neoplasms, ICD10",4067
"104",2017,"Male","75 - 79","Malignant neoplasms, ICD10",3969
"105",2017,"Male","75 - 79","Malignant neoplasm of colon, rectosigmoid junction, rectum, anus and anal canal, ICD10",366
"106",2017,"Male","75 - 79","Malignant neoplasm of trachea, bronchus and lung, ICD10",839
"107",2017,"Male","75 - 79","Malignant neoplasm of prostate, ICD10",506
"108",2017,"Male","75 - 79","Malignant neoplasm of lymphoid, haematopoietic and related tissue, ICD10",441
"109",2017,"Male","75 - 79","Endocrine, nutritional and metabolic diseases, ICD10",461
"110",2017,"Male","75 - 79","Diabetes mellitus, ICD10",354
"111",2017,"Male","75 - 79","Mental and behavioural disorders, ICD10",362
"112",2017,"Male","75 - 79","Diseases of the nervous system, ICD10",651
"113",2017,"Male","75 - 79","Diseases of the circulatory system, ICD10",2574
"114",2017,"Male","75 - 79","Ischaemic heart diseases, ICD10",1258
"115",2017,"Male","75 - 79","Cerebrovascular diseases, ICD10",567
"116",2017,"Male","75 - 79","Diseases of the respiratory  system, ICD10",1161
"117",2017,"Male","75 - 79","Chronic lower respiratory diseases, ICD10",726
